Row,Recency,Frequency,Monetary
580,1587,1,4737
581,1586,1,3232
582,1585,1,4201
583,1584,1,6806
584,1583,1,6769
585,1582,1,6581
586,1581,1,6254
587,1580,1,5163
588,1579,1,3851
589,1578,1,4695
590,1577,1,7098
591,1576,1,7156
592,1575,1,6836
593,1574,1,6329
594,1573,1,4990
595,1572,1,3536
596,1571,1,4366
597,1570,1,6510
598,1569,1,6855
599,1568,1,6599
600,1567,1,5510
601,1566,1,4549
602,1565,1,3064
603,1564,1,3633
604,1563,1,5838
605,1562,1,6026
606,1561,1,5780
607,1560,1,5131
608,1559,1,3928
609,1558,1,2636
610,1557,1,3278
611,1556,1,4785
612,1555,1,4886
613,1554,1,5145
614,1553,1,5849
615,1552,1,4456
616,1551,1,2960
617,1550,1,3885
618,1549,1,5857
619,1548,1,6162
620,1547,1,6014
621,1546,1,5652
622,1545,1,4793
623,1544,1,2819
624,1543,1,3687
625,1542,1,4851
626,1541,1,5775
627,1540,1,5443
628,1539,1,5590
629,1538,1,4482
630,1537,1,2792
631,1536,1,3371
632,1535,1,5547
633,1534,1,5468
634,1533,1,5104
635,1532,1,4728
636,1531,1,4024
637,1530,1,2350
638,1529,1,3234
639,1528,1,4948
640,1527,1,5247
641,1526,1,5003
642,1525,1,4816
643,1524,1,4208
644,1523,1,2454
645,1522,1,2763
646,1521,1,4954
647,1520,1,4903
648,1519,1,4907
649,1518,1,4625
650,1517,1,3497
651,1516,1,1826
652,1515,1,2307
653,1514,1,4368
654,1513,1,4233
655,1512,1,4187
656,1511,1,3811
657,1510,1,3179
658,1509,1,1615
659,1508,1,1788
660,1507,1,2959
661,1506,1,3947
662,1505,1,3841
663,1504,1,3729
664,1503,1,3324
665,1502,1,1795
666,1501,1,2373
667,1500,1,4101
668,1499,1,4241
669,1498,1,4478
670,1497,1,3961
671,1496,1,3367
672,1495,1,1828
673,1494,1,2344
674,1493,1,4415
675,1492,1,4403
676,1491,1,4244
677,1490,1,4322
678,1489,1,3456
679,1488,1,2068
680,1487,1,2568
681,1486,1,4770
682,1485,1,4621
683,1484,1,4470
684,1483,1,4307
685,1482,1,3370
686,1481,1,1960
687,1480,1,2412
688,1479,1,4504
689,1478,1,4382
690,1477,1,4710
691,1476,1,4324
692,1475,1,3472
693,1474,1,1909
694,1473,1,2365
695,1472,1,4460
696,1471,1,4479
697,1470,1,4510
698,1469,1,4340
699,1468,1,3508
700,1467,1,2030
701,1466,1,2586
702,1465,1,4476
703,1464,1,3232
704,1463,1,4291
705,1462,1,4247
706,1461,1,3477
707,1460,1,2169
708,1459,1,2430
709,1458,1,4358
710,1457,1,4465
711,1456,1,4550
712,1455,1,4147
713,1454,1,3634
714,1453,1,2014
715,1452,1,2687
716,1451,1,4376
717,1450,1,4318
718,1449,1,4441
719,1448,1,4234
720,1447,1,3027
721,1446,1,1966
722,1445,1,2446
723,1444,1,3779
724,1443,1,4619
725,1442,1,4983
726,1441,1,4645
727,1440,1,3612
728,1439,1,2153
729,1438,1,3089
730,1437,1,4580
731,1436,1,4788
732,1435,1,5095
733,1434,1,4668
734,1433,1,3711
735,1432,1,2523
736,1431,1,3364
737,1430,1,5513
738,1429,1,5362
739,1428,1,5402
740,1427,1,5398
741,1426,1,3783
742,1425,1,2395
743,1424,1,3679
744,1423,1,5688
745,1422,1,5842
746,1421,1,5923
747,1420,1,5717
748,1419,1,4250
749,1418,1,2525
750,1417,1,3923
751,1416,1,5785
752,1415,1,6052
753,1414,1,6150
754,1413,1,5591
755,1412,1,4279
756,1411,1,2897
757,1410,1,3904
758,1409,1,5458
759,1408,1,5909
760,1407,1,6175
761,1406,1,5856
762,1405,1,4610
763,1404,1,3081
764,1403,1,4390
